year,australian_open,roland_garros,wimbledon,us_open
2020,Garbiñe Muguruza,Sofia Kenin,,Victoria Azarenka
2019,Petra Kvitová,Markéta Vondroušová,Serena Williams,Serena Williams
2018,Simona Halep,Sloane Stephens,Serena Williams,Serena Williams
2017,Venus Williams,Simona Halep,Venus Williams,Madison Keys
2016,Serena Williams,Serena Williams,Angelique Kerber,Karolína Plíšková
2015,Maria Sharapova,Lucie Šafářová,Garbiñe Muguruza,Roberta Vinci
2014,Dominika Cibulková,Simona Halep,Eugenie Bouchard,Caroline Wozniacki
2013,Li Na,Maria Sharapova,Sabine Lisicki,Victoria Azarenka
2012,Maria Sharapova,Sara Errani,Agnieszka Radwańska,Victoria Azarenka
2011,Li Na,Francesca Schiavone,Maria Sharapova,Serena Williams
2010,Justine Henin,Samantha Stosur,Vera Zvonareva,Vera Zvonareva
2009,Dinara Safina,Dinara Safina,Venus Williams,Caroline Wozniacki
2008,Ana Ivanović,Dinara Safina,Serena Williams,Jelena Janković
2007,Maria Sharapova,Ana Ivanović,Marion Bartoli,Svetlana Kuznetsova
2006,Justine Henin,Svetlana Kuznetsova,Justine Henin,Justine Henin
2005,Lindsay Davenport,Mary Pierce,Lindsay Davenport,Mary Pierce
2004,Kim Clijsters,Elena Dementieva,Serena Williams,Elena Dementieva
2003,Venus Williams,Kim Clijsters,Venus Williams,Kim Clijsters
2002,Martina Hingis,Venus Williams,Venus Williams,Venus Williams
2001,Martina Hingis,Kim Clijsters,Justine Henin,Serena Williams
2000,Martina Hingis,Conchita Martínez,Lindsay Davenport,Lindsay Davenport
1999,Amélie Mauresmo,Martina Hingis,Steffi Graf,Martina Hingis
1998,Conchita Martínez,Monica Seles,Nathalie Tauziat,Martina Hingis
1997,Mary Pierce,Martina Hingis,Jana Novotná,Venus Williams
1996,Anke Huber,Arantxa Sánchez Vicario,Arantxa Sánchez Vicario,Monica Seles
1995,Arantxa Sánchez Vicario,Arantxa Sánchez Vicario,Arantxa Sánchez Vicario,Monica Seles
1994,Arantxa Sánchez Vicario,Mary Pierce,Martina Navrátilová,Steffi Graf
1993,Steffi Graf,Mary Joe Fernández,Jana Novotná,Helena Suková
1992,Mary Joe Fernández,Steffi Graf,Monica Seles,Arantxa Sánchez Vicario
1991,Jana Novotná,Arantxa Sánchez Vicario,Gabriela Sabatini,Martina Navrátilová
1990,Mary Joe Fernández,Steffi Graf,Zina Garrison,Steffi Graf
1989,Helena Suková,Steffi Graf,Martina Navrátilová,Martina Navrátilová
1988,Chris Evert,Natasha Zvereva,Martina Navrátilová,Gabriela Sabatini
1987,Martina Navrátilová,Martina Navrátilová,Steffi Graf,Steffi Graf
