year,australian open,roland garros,wimbledon,us open
2020,Sofia Kenin,Iga Świątek,-,Naomi Osaka 	
2019,Naomi Osaka,Ashleigh Barty,Simona Halep,Canada Bianca Andreescu 
2018,Caroline Wozniacki,Simona Halep,Angelique Kerber,Naomi Osaka 
2017,Serena Williams,Jeļena Ostapenko,Garbiñe Muguruza,Sloane Stephens 
2016,Angelique Kerber,Garbiñe Muguruza,Serena Williams,Angelique Kerber 
2015,Serena Williams,Serena Williams,Serena Williams,Flavia Pennetta 
2014,Li Na,Maria Sharapova,Petra Kvitová,Serena Williams 
2013,Victoria Azarenka,Serena Williams,Marion Bartoli,Serena Williams 
2012,Victoria Azarenka,Maria Sharapova,Serena Williams,Serena Williams 
2011,Kim Clijsters,Li Na,Petra Kvitová,Samantha Stosur 
2010,Serena Williams,Francesca Schiavone,Serena Williams,Kim Clijsters 
2009,Serena Williams,Svetlana Kuznetsova,Serena Williams,Kim Clijsters 
2008,Maria Sharapova,Ana Ivanović,Venus Williams,Serena Williams 
2007,Serena Williams,Justine Henin,Venus Williams,Justine Henin 
2006,Amélie Mauresmo,Justine Henin,Amélie Mauresmo,Maria Sharapova 
2005,Serena Williams,Justine Henin,Venus Williams,Kim Clijsters 
2004,Justine Henin,Anastasia Myskina,Maria Sharapova,S. Kuznetsova 
2003,Serena Williams,Justine Henin,Serena Williams,Justine Henin 
2002,Jennifer Capriati,Serena Williams,Serena Williams,Serena Williams 
2001,Jennifer Capriati,Jennifer Capriati,Venus Williams,Venus Williams 
2000,Lindsey Davenport,Mary Pierce,Venus Williams,Venus Williams 
1999,Martina Hingis,Steffi Graf,Lindsey Davenport,Serena Williams 
1998,Martina Hingis,Arantxa Sánchez,Jana Novotná,Lindsey Davenport 
1997,Martina Hingis,Iva Majoli,Martina Hingis,Martina Hingis 
1996,Monica Seles,Steffi Graf,Steffi Graf,Steffi Graf 
1995,Mary Pierce,Steffi Graf,Steffi Graf,Steffi Graf 
1994,Steffi Graf,A. Sánchez,Conchita Martínez,A. Sánchez 
1993,Monica Seles,Steffi Graf,Steffi Graf,Steffi Graf 
1992,Monica Seles,Monica Seles,Steffi Graf,Monica Seles 
1991,Monica Seles,Monica Seles,Steffi Graf,Monica Seles 
1990,Steffi Graf,Monica Seles,Martina Navrátilová,Argentine Gabriela Sabatini 
1989,Steffi Graf,Arantxa Sánchez,Steffi Graf,Steffi Graf 
1988,Steffi Graf,Steffi Graf,Steffi Graf,Steffi Graf 
1987,Hana Mandlíková,Steffi Graf,Martina Navrátilová,Martina Navrátilová 
