year,player
1987,Steffi Graf
1988,Steffi Graf
1989,Steffi Graf
1990,Steffi Graf
1991,Monica Seles
1992,Monica Seles
1993,Steffi Graf
1994,Steffi Graf
1995,Steffi Graf
1996,Steffi Graf
1997,Martina Hingis
1998,Lindsay Davenport
1999,Lindsay Davenport
2000,Venus Williams
2001,Jennifer Capriati
2002,Serena Williams
2003,Justine Henin
2004,Maria Sharapova
2005,Kim Clijsters
2006,Amélie Mauresmo
2007,Justine Henin
2008,Serena Williams
2009,Serena Williams
2010,Kim Clijsters
2011,Petra Kvitová
2012,Serena Williams
2013,Serena Williams
2014,Serena Williams
2015,Serena Williams
2016,Angelique Kerber
2017,Garbiñe Muguruza
2018,Simona Halep
2019,Ashleigh Barty
