id,year,winner,finalist
0,1987,Steffi Graf,Gabriela Sabatini
1,1988,Gabriela Sabatini,Pam Shriver
2,1989,Steffi Graf,Martina Navrátilová
3,1990,Monica Seles,Gabriela Sabatini
4,1991,Monica Seles,Martina Navrátilová
5,1992,Monica Seles,Martina Navrátilová
6,1993,Steffi Graf,Arantxa Sánchez
7,1994,Gabriela Sabatini,Lindsay Davenport
8,1995,Steffi Graf,Anke Huber
9,1996,Steffi Graf,Martina Hingis
10,1997,Jana Novotná,Mary Pierce
11,1998,Martina Hingis,Lindsay Davenport
12,1999,Lindsay Davenport,Martina Hingis
13,2000,Martina Hingis,Monica Seles
14,2001,Serena Williams,Lindsay Davenport
15,2002,Kim Clijsters,Serena Williams
16,2003,Kim Clijsters,Amélie Mauresmo
17,2004,Maria Sharapova,Serena Williams
18,2005,Amélie Mauresmo,Mary Pierce
19,2006,Justine Henin Hardenne,Amélie Mauresmo
20,2007,Justine Henin,Maria Sharapova
21,2008,Venus Williams,Vera Zvonareva
22,2009,Serena Williams,Venus Williams
23,2010,Kim Clijsters,Caroline Wozniacki
24,2011,Petra Kvitová,Victoria Azarenka
25,2012,Serena Williams,Maria Sharapova
26,2013,Serena Williams,Li Na
27,2014,Serena Williams,Simona Halep
28,2015,Agnieszka Radwańska,Petra Kvitová
29,2016,Dominika Cibulková,Angelique Kerber
30,2017,Caroline Wozniacki,Venus Williams
31,2018,Elina Svitolina,Sloane Stephens
32,2019,Ashleigh Barty,Elina Svitolina
